Site_Name,Stream_Name ,Date_Collected,Sample_Type,Sample_ID,Running_Number,L_Volume,Vial_Volume,Concentration_Factor ,13-C3_Caffeine,Acetaminophen,Amoxicillin,Ampicillin,Atenolol_MRT,Caffeine,Buspirone,Bifenthrin,Beta_cyfluthrin,Benzophenone_3,Benzophenone_1,Atrazine,Carbamazepine_A,Carbaryl,Chlortetracycline,Erythromycin,DEET,Cyhalothrin,Clothianidin,Clarithromycin,Citalopram,Chlortetracycline,Chlorpyrifos,Esfenvalerate_UNCONF,Fluoxetine,Glyphosate_ND,Ibuprofen_UNCONF,Imidacloprid,Ketoprofen,Malathion,Erythromycin,Metformin,Metoprolol_MRT,Naproxen,Ofloxacin,Oxytetracycline,Sulfadiazine,Sucralose,Simazine,Permethrin,Sulfadimethoxine,Sulfamethazine,Sulfamethoxazole,Tetracycline,Theobromine,Thiamethoxam_d3,Thiamethoxam,Thiacloprid,Trimethoprim_MRT,4_t_Octylphenol,Venlafaxine,Benzylbutyl_phthalate,Bis2ethylhexyl_Dioctylphthlate,Butylparaben,Diethyl_phthalateA,Dipropyl_phthalate,EthylparabenA,Nitrate,N_Blank,TotalN,Nutrient_Sample_ID,TotalP,T_Blank,Total_P,pH,NO3N,NH4N,PO4P,Chloride,Nitrite,Sulfate,Nitrate,Phosphate,11B,23Na,26Mg,27Al,31P,39K ,44Ca,45Sc ,48Ti,55Mn,56Fe ,59Co,60Ni,63Cu,64Zn,75As,78Se,88Sr,89Y,95Mo,111Cd,115In,121Sb,137Ba,140Ce,159Tb,208Pb,45Sc,28Si,45Sc ,31P.16O,59Co,32S.16O,49Ti,S_ppm
Upper_Spruce_Creek_Church ,Spruce_Creek,6172021,Grab,141-TVFF21,TVFF21-011,1003.1,0.948419722,1057.654092,NA,NA,NA,NA,NA,0.0028,NA,NA,NA,0.0008,0,0.0077,0.0008,0.0002,NA,NA,0.0003,NA,0.0004,NA,NA,NA,NA,NA,NA,NA,0.0441,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0.0002,NA,0,NA,0,NA,0.0008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.39,0.02,3.56,TVFF21-011,0.143,0.01,0.205,,,,,8.02,0.013,8.028,11.8694,0.1936,0.00958,4.91388,11.38708,0.00101,1.83111,1.34734,32.59312,108,0.01008,0.04573,0.00666,91,0.00051,0.00701,-0.00085,0,0.00008,1.54816,96,0.00002,0,98,0.00036,0.27228,0.00127,98,0,102,0.31979,113,-6.70999,191,4.92499,0.00018,NA
George_W_Harvey,Spruce_Creek,6172021,Grab,142-TVFF21,TVFF21-012,1001.8,0.859924147,1164.986474,NA,0.0001,NA,NA,NA,0.0036,NA,NA,NA,0.0009,0,0.0065,0.0005,0.0003,NA,NA,0.0006,NA,0.0006,NA,NA,NA,0,NA,0,NA,0.0704,NA,0,0,NA,0.0002,NA,NA,NA,NA,NA,NA,0.0003,0.0001,0,NA,NA,NA,0.0017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.57,0.02,3.83,TVFF21-012,0.119,0.01,0.168,,,,,8.17,NA,9.229,14.4036,0.0758,0.00857,4.1922,11.49582,0.00104,1.51911,1.3475,22.50078,108,0.00701,0.00056,0.00475,91,0.00061,0.0053,-0.00172,0,0.00006,1.13664,95,0.00001,0,96,0.00036,0.18403,0.00072,99,0,100,0.27128,112,-4.82384,172,3.64586,0.00013,NA
Lower_Warriors_Mark_Run ,Warriors_Mark_Run ,6172021,Grab,143-TVFF21,TVFF21-013,1008.7,0.904804046,1114.827022,NA,0.0001,NA,NA,NA,0.0014,NA,NA,NA,0.0008,0,0.0073,0.0002,0.0005,NA,NA,0.0002,NA,0.0006,NA,NA,NA,NA,NA,0,NA,0.0939,NA,0,0,NA,0.0002,NA,NA,NA,NA,NA,NA,0.0003,0.0001,0.0002,NA,NA,NA,0.0001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.69,0.02,4.01,TVFF21-013,0.089,0.01,0.123,,,,,6.45,0.008,8.984,13.9791,NA,0.0074,3.33958,13.4278,0.00044,1.53706,1.29847,24.21244,109,0.00744,0.00072,0.00492,92,0.00027,0.00659,-0.00173,0,0.00006,0.94156,97,0.00002,0,99,0.00032,0.23371,0.00032,99,0,101,0.28019,113,-5.20784,175,3.70026,0.00014,NA
Upper_Warriors_Mark_Run ,Warriors_Mark_Run ,6172021,Grab,144-TVFF21,TVFF21-014,1001.1,0.811630847,1233.442523,NA,0.0002,NA,NA,NA,0.0015,NA,NA,NA,0.0006,NA,0.0076,0.0002,0.0005,NA,NA,0.0006,NA,0.0014,NA,NA,NA,NA,NA,0,NA,0.0648,0,0,0,NA,0.0003,NA,0.0007,NA,NA,NA,NA,0,NA,0.0002,NA,0,NA,0.0011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.06,0.02,3.07,TVFF21-014,0.165,0.01,0.237,,,,,5.54,0.012,7.769,11.2353,0.2589,0.00756,3.45546,12.17724,0.00107,1.61599,1.23365,28.32747,110,0.00889,0.00151,0.00991,91,0.00064,0.00842,0.00003,0,0.00006,1.13517,96,0.00002,0,98,0.00033,0.32349,0.00073,98,0,100,0.2812,111,-5.93288,184,4.3394,0.00016,NA
Keith_Nelson,Warriors_Mark_Run ,6172021,Grab,145-TVFF21,TVFF21-015,1001.7,0.805562579,1243.478814,NA,0.0012,NA,NA,NA,0.0017,NA,NA,NA,0.0007,0.0001,0.0103,0,0,NA,NA,0.0003,NA,0.0034,NA,NA,NA,NA,NA,NA,NA,0.0463,0,0,NA,NA,0.0002,NA,NA,NA,NA,NA,NA,0.0002,NA,0.0006,NA,NA,NA,0.0009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.57,0.02,3.83,TVFF21-015,0.099,0.01,0.139,,,,,7.68,0.015,8.531,14.5727,0.0496,0.01121,4.17707,8.35075,0.00013,1.65204,1.387,23.70022,108,0.00742,0.01808,0.00669,91,0.00079,0.0055,-0.00066,0,0.00008,1.1616,96,0.00003,0,97,0.00027,0.3514,0.00076,97,0,100,0.29325,112,-5.10674,173,3.69117,0.00013,NA
Halfmoon_Creek_By_Bridge ,Halfmoon_Creek ,6172021,Grab,146-TVFF21,TVFF21-016,997.8,0.904804046,1102.780215,NA,NA,NA,NA,NA,0.0031,NA,NA,NA,0.0009,NA,0.0135,0.0026,0.0001,NA,NA,0.0003,NA,0.0001,NA,NA,NA,NA,NA,NA,NA,0.1024,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0.0001,NA,NA,NA,0.0002,NA,0.0024,NA,NA,NA,0.0008,NA,NA,NA,NA,NA,NA,NA,NA,1.38,0.02,2.05,TVFF21-016,0.137,0.01,0.196,,,,,10.24,0.023,10.095,7.8295,0.0825,0.0138,5.87789,7.02949,0.00109,1.83286,1.66868,26.74291,107,0.00824,0.00159,0.00786,91,0.00044,0.00637,-0.00171,0,0.00009,1.38571,94,0.00002,0,96,0.00037,0.22146,0.00082,97,0,100,0.32246,114,-5.45677,175,4.04287,0.00016,NA
Loville,Halfmoon_Creek ,6172021,Grab,147-TVFF21,TVFF21-018,992.5,0.622756005,1593.722087,NA,0.0002,NA,NA,NA,0.0084,0.0001,NA,NA,0.0021,0,0.0125,0,0.0002,NA,0,0.0003,NA,0.0014,0.0004,0.0012,NA,0.0049,0.0048,0.0009,NA,NA,NA,0,NA,0,0.0002,0.0002,0.0004,0.0022,NA,0,NA,0.0002,0.0022,0,NA,NA,NA,0.0164,NA,NA,0,0.0001,NA,0.0001,NA,NA,NA,NA,NA,NA,2.75,0.02,4.1,TVFF21-018,0.089,0.01,0.124,,,,,9.7,0.023,9.842,9.341,0.1372,0.0138,5.87789,7.02949,0.00109,1.83286,1.66868,26.74291,107,0.00824,0.00159,0.00786,91,0.00044,0.00637,-0.00171,0,0.00009,1.38571,94,0.00002,0,96,0.00037,0.22146,0.00082,97,0,100,0.32246,114,-5.45677,175,4.04287,0.00016,NA
Halfmoon_Creek_After_Confluence ,Halfmoon_Creek ,6172021,Grab,148-TVFF21,TVFF21-017,1002.8,0.759418458,1320.484101,NA,0.0002,0.0002,NA,NA,0.0028,NA,NA,NA,0.0013,0.0001,0.0138,0.0022,0.0001,NA,NA,0.0004,NA,0.0003,NA,0.0001,NA,0.0014,0.0009,0.0003,NA,0.0472,0,0,0,NA,0,NA,0.0019,0.24,NA,NA,NA,0.0001,0.0002,NA,NA,0.0001,NA,0.0015,NA,NA,NA,0.0004,NA,NA,NA,NA,NA,NA,NA,NA,1.61,0.02,2.39,TVFF21-017,0.114,0.01,0.161,,,,,8.26,0.026,9.373,15.8771,0.0397,0.01351,5.62869,7.45087,0.0007,1.81217,1.70458,27.46707,107,0.00853,0.00058,0.00741,90,0.00107,0.00657,-0.00142,0,0.00008,1.40724,95,0.00002,0,97,0.0004,0.26187,0.0008,98,0,101,0.3145,114,-5.7273,180,4.13428,0.00016,NA
Field Blank 6172021,All_Sites ,6172021,Grab,149-TVFF21,NA,1000,0.983312263,1016.970944,NA,0.002,NA,NA,NA,0.0182,NA,NA,NA,0.0025,NA,0.0002,0,0,NA,NA,0.0005,NA,NA,NA,0.0001,NA,0.0006,NA,0.0001,NA,0.0761,NA,0,0,NA,0.0003,NA,0.0002,0.2401,NA,NA,NA,0.0001,NA,NA,NA,NA,NA,0.0019,NA,NA,0,0.0008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ag_Progress_Days ,Spruce_Creek,6292021,Grab,150-TVFF21,TVFF21-019/020,923.7,0.929582807,993.6715622,NA,0.0005,NA,NA,NA,0.0032,NA,NA,NA,0.0012,0,0.002,NA,0.0004,NA,NA,0.0003,NA,0,NA,NA,NA,0.0004,NA,0.0001,NA,0.0593,0,0,NA,NA,0,NA,NA,0.2401,NA,NA,NA,0.0003,0,NA,NA,NA,NA,0.0024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38,0.02,2.05,TVFF21-020,0.011,0.01,0.006,,,,,4.51,NA,9.076,8.3083,NA,0.00755,2.69001,4.25049,0.00073,1.66071,0.8373,27.14279,107,0.00843,0.00166,0.0001,91,0.00078,0.00126,-0.00124,0,0.00007,2.3695,97,0,0,98,0.00025,0.27845,0.00015,98,0,100,0.29394,110,-5.96138,174,4.21295,0.00014,NA
Upper_Spruce_Creek_Church ,Spruce_Creek,6292021,Grab,151-TVFF21,TVFF21-021/022,1006.8,0.772060683,1304.042574,NA,0.0043,NA,NA,NA,0.0064,NA,NA,NA,0.0011,NA,0.0056,0.0008,0,NA,0,0.0004,NA,0,NA,NA,NA,NA,NA,0,NA,0.078,NA,0,0,0,NA,NA,0.0007,0.2401,NA,0,NA,0.0001,NA,NA,NA,NA,NA,0.0006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.57,0.02,3.83,TVFF21-022,0.015,0.01,0.013,,,,,10.38,0.012,9.517,15.2984,NA,0.00743,4.66178,14.95109,0.00042,1.47619,1.23543,28.06274,107,0.00876,0.00067,0.00257,90,0.00054,0.00089,-0.00153,0,0.00006,1.32488,95,0.00001,0,95,0.00026,0.1952,0.00032,97,0,101,0.25952,111,-6.13256,181,4.30726,0.00016,NA
George_W_Harvey,Spruce_Creek,6292021,Grab,152-TVFF21,TVFF21-023/024,1003.7,0.808849558,1240.898249,NA,NA,NA,NA,NA,0.0061,NA,NA,NA,0.0011,NA,0.005,0.0004,0.0001,NA,NA,0.0005,NA,0.0002,NA,NA,NA,NA,NA,0,NA,0.0603,NA,0.0001,0,NA,0.0014,NA,0.0005,0,NA,NA,NA,0.0004,NA,NA,NA,NA,NA,0.0019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.59,0.02,3.87,TVFF21-024,0.02,0.01,0.02,,,,,8.68,0.009,9.445,14.9933,NA,0.00688,4.19525,14.76944,0.00058,1.07905,1.21454,24.07183,108,0.00751,0.00036,0.00194,91,0.00024,0.00042,-0.00184,0,0.00005,1.14461,97,0.00001,0,97,0.00017,0.18351,0.00029,97,0,100,0.19782,107,-5.47585,175,4.05638,0.00014,NA
Lower_Warriors_Mark_Run ,Warriors_Mark_Run ,6292021,Grab,153-TVFF21,TVFF21-025/026,1004.9,0.752591656,1335.252646,NA,0.0001,NA,NA,NA,0.0253,NA,NA,NA,0.0028,0,0.004,0.0002,0,NA,0,0.0003,NA,0.0002,NA,NA,NA,0,NA,0,NA,0.0366,NA,0,0,0,0.0009,NA,0.0002,0,NA,NA,NA,0.0003,NA,NA,NA,NA,NA,0.0019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,0.02,2.6,TVFF21-026,0.017,0.01,0.016,,,,,4.96,0.028,7.731,9.6372,NA,0.00592,2.46057,13.03375,0.00059,1.36152,1.35108,21.16837,109,0.00658,0.00128,0.00492,92,0.0002,0.00043,-0.00182,0,0.00005,0.83777,96,0.00002,0,97,0.00019,0.21276,0.0003,99,0,103,0.23835,110,-4.60288,168,3.36477,0.00012,NA
Upper_Warriors_Mark_Run ,Warriors_Mark_Run ,6292021,Grab,154-TVFF21,TVFF21-027/028,983.2,0.837420986,1174.080918,NA,0.0008,NA,NA,0.0166,0.0053,NA,NA,NA,0.0009,NA,0.0045,0.0002,0.0001,NA,0,0.0004,NA,0.0001,NA,NA,NA,0,NA,0,NA,0.0533,NA,0,0,0,0.0003,NA,NA,0.2401,NA,NA,NA,0.0003,NA,0,NA,NA,NA,0.0047,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.28,0.02,3.4,TVFF21-028,0.02,0.01,0.02,,,,,6.07,0.021,9.086,13.0133,NA,0.00605,2.96424,15.02599,0.00072,1.45454,1.49121,23.86251,108,0.00753,0.00077,0.00535,91,0.00041,0.00118,-0.00174,0,0.00005,0.82287,95,0.00002,0,97,0.00024,0.22164,0.00039,98,0,100,0.26407,110,-5.41206,172,3.85983,0.00014,NA
Keith_Nelson,Warriors_Mark_Run ,6302021,Grab,155-TVFF21,TVFF21-029/030,922.4,0.794184576,1161.442853,NA,NA,NA,NA,0.021,0.013,NA,NA,NA,0.0017,NA,0.0088,0,0.0003,0.2039,NA,0.0002,NA,0.002,NA,NA,0.2039,NA,NA,0,NA,0.0397,0,0.0001,NA,NA,0.0004,NA,0.0004,0,NA,NA,NA,0.0002,NA,0,NA,0.0004,NA,0.0021,NA,0.0002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.14,0.02,4.68,TVFF21-030,0.03,0.01,0.036,,,,,9.68,0.039,9.448,17.2273,NA,0.01231,5.19828,11.44156,0.00111,1.43085,1.72561,26.53494,108,0.00824,0.00129,0.00266,91,0.0005,0.00144,-0.00163,0,0.00007,1.36243,97,0.00005,0,97,0.00028,0.32249,0.00025,98,0,101,0.25142,109,-5.88665,177,4.17403,0.00015,NA
Halfmoon_Creek_By_Bridge ,Halfmoon_Creek ,6302021,Grab,156-TVFF21,TVFF21-031/032,1001.4,0.824020228,1215.261429,NA,0.0004,NA,NA,NA,0.0106,NA,NA,NA,0.0024,0,0.0109,0.0025,0,NA,NA,0.0003,NA,NA,NA,0.0001,NA,NA,0.0001,0,NA,NA,NA,0.0001,0,NA,0.0008,NA,0.0011,0.2401,NA,NA,NA,0.0002,NA,NA,NA,NA,NA,0.0021,NA,NA,NA,0.0003,NA,NA,NA,NA,NA,NA,NA,NA,1.41,0.02,2.09,TVFF21-032,0.091,0.01,0.127,,,,,12.88,0.028,9.686,5.9134,0.0281,0.0184,7.12779,8.06761,0.00374,1.5365,3.17729,29.14927,105,0.00903,0.00093,0.02318,90,0.00103,0.00216,-0.0014,0.00001,0.00012,1.58785,94,0.00005,0,96,0.00056,0.25478,0.00191,96,0,99,0.27167,110,-6.26214,182,4.43439,0.00018,NA
Loville,Halfmoon_Creek ,6302021,Grab,157-TVFF21,TVFF21-033/034,1007.6,0.740707965,1360.32019,NA,0.0001,NA,NA,NA,0.0044,NA,NA,NA,0.001,0,0.0103,NA,0.0002,NA,NA,0.0001,NA,0.0012,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.0031,NA,NA,NA,NA,0.0002,NA,NA,NA,NA,NA,0.0016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.77,0.02,4.14,TVFF21-034,0.04,0.01,0.05,,,,,12.82,0.073,11.12,15.8665,NA,0.01442,7.06676,12.2075,0.00357,1.42817,2.15397,29.6174,107,0.00922,0.00093,0.0092,91,0.00065,0.00137,-0.00176,0.00001,0.00009,1.9067,95,0.00005,0,96,0.00037,0.38265,0.00098,97,0,100,0.25332,109,-6.61422,183,4.73707,0.00017,NA
