site,plant_species,aphid_count
Site_6,Asclepias_incarnata,2
Site_6,Asclepias_syriaca,12
Site_6,Asclepias_syriaca,5
Site_6,Asclepias_syriaca,2
Site_6,Asclepias_tuberosa,5
Site_6,Asclepias_incarnata,2
Site_6,Asclepias_syriaca,4
Site_6,Asclepias_tuberosa,10
Site_6,Asclepias_incarnata,7
Site_6,Asclepias_incarnata,17
Site_6,Asclepias_incarnata,0
Site_6,Asclepias_incarnata,7
Site_6,Asclepias_tuberosa,11
Site_6,Asclepias_tuberosa,13
Site_6,Asclepias_syriaca,0
Site_6,Asclepias_tuberosa,2
Site_6,Asclepias_tuberosa,3
Site_6,Asclepias_incarnata,0
Site_6,Asclepias_tuberosa,1
Site_6,Asclepias_syriaca,7
Site_7,Asclepias_tuberosa,8
Site_7,Asclepias_tuberosa,1
Site_7,Asclepias_syriaca,15
Site_7,Asclepias_incarnata,1
Site_7,Asclepias_incarnata,9
Site_7,Asclepias_syriaca,7
Site_7,Asclepias_tuberosa,9
Site_7,Asclepias_tuberosa,9
Site_7,Asclepias_incarnata,9
Site_7,Asclepias_syriaca,7
Site_7,Asclepias_syriaca,15
Site_7,Asclepias_incarnata,9
Site_7,Asclepias_incarnata,16
Site_7,Asclepias_syriaca,14
Site_7,Asclepias_tuberosa,1
Site_7,Asclepias_syriaca,0
Site_7,Asclepias_syriaca,10
Site_7,Asclepias_tuberosa,6
Site_7,Asclepias_syriaca,1
Site_7,Asclepias_tuberosa,3
Site_8,Asclepias_tuberosa,7
Site_8,Asclepias_incarnata,2
Site_8,Asclepias_syriaca,7
Site_8,Asclepias_syriaca,9
Site_8,Asclepias_incarnata,1
Site_8,Asclepias_incarnata,7
Site_8,Asclepias_syriaca,13
Site_8,Asclepias_syriaca,6
Site_8,Asclepias_incarnata,6
Site_8,Asclepias_incarnata,6
Site_8,Asclepias_tuberosa,9
Site_8,Asclepias_incarnata,0
Site_8,Asclepias_incarnata,5
Site_8,Asclepias_syriaca,0
Site_8,Asclepias_tuberosa,1
Site_8,Asclepias_incarnata,11
Site_8,Asclepias_syriaca,2
Site_8,Asclepias_tuberosa,11
Site_8,Asclepias_incarnata,8
Site_8,Asclepias_tuberosa,3
